"gene","M-F_log2ratio","pval","chr","human_ortholog"
"MYBPC1",0.147503810609566,0.360146111877221,"11","MYBPC1"
"LOC100423814",0.147419240629305,0.262211563327252,"11",NA
"ID2",0.147312142135051,0.131740489498094,"13","ID2"
"MRPS18A",0.147144100875289,0.0921522110722857,"4","MRPS18A"
"VWF",0.146553812692019,0.180085577378214,"11","VWF"
"DDX46",0.146504043815019,0.104951280570072,"6","DDX46"
"UFSP2",0.146305120711272,0.381838578731379,"5",NA
"COL1A2",0.146116681804706,0.164969055765136,"3","COL1A2"
"PLXNA4",0.145887366670993,0.133486650560041,"3","PLXNA4"
"AMBN",0.145691648330082,0.0256774670102995,"5","AMBN"
"C13orf15",0.145289132290717,0.228224200743021,"17","RGCC"
"LOC716736",0.145275287104574,0.0296331223641901,"19",NA
"ERMAP",0.144585566413558,0.409996395882504,"1","ERMAP"
"LAMA2",0.144275050648733,0.0853369520755725,"4","LAMA2"
"TYMS",0.144264270167641,0.103559325594243,"18","TYMS"
"EFNA5",0.143831472220306,0.0515758765465149,"6","EFNA5"
"CLIP3",0.143774617052879,0.230949558674519,"19","CLIP3"
"LOC696174",0.143742117254006,0.067322328067421,"17",NA
"PARP11",0.143705757943808,0.25880397600181,"11","PARP11"
"LOC717900",0.143623926013041,0.171461014185702,"13","MCFD2"
"LOC705636",0.143440978803852,0.110183523941666,"3",NA
"SF3B3",0.143355607321803,0.086799570007171,"20","SF3B3"
"AURKC",0.143224663431543,0.229398220161853,"19","AURKC"
"TUBGCP5",0.143178455857108,0.0910026181315255,"7","TUBGCP5"
"ROPN1L",0.142914088847401,0.0334836209955562,"6","ROPN1L"
"SRGN",0.142677234089058,0.214424485709494,"9","SRGN"
"RNASE6",0.1421137543042,0.11934889669823,"7","RNASE6"
"GPX1",0.140970986024531,0.214366995695154,"2","GPX1"
"ZSCAN16",0.140938693762689,0.200995325529072,"4","ZSCAN16"
"LOC100424959",0.140672239481711,0.09999204561881,"1",NA
"C4H6orf225",0.140627567018436,0.463408311230327,"4","C6orf225"
"YWHAQ",0.140544541842555,0.133470986752077,"5","YWHAQ"
"ACVR1C",0.140399236841642,0.0625391620458151,"12","ACVR1C"
"HMMR",0.140180556685271,0.648500458572305,"6","HMMR"
"HIGD2A",0.140083198608879,0.0828567744382882,"6","HIGD2A"
"MECR",0.139955846040151,0.16463841384335,"1","MECR"
"SQLE",0.139888983375233,0.153695110266004,"8","SQLE"
"SYT6",0.139637833862333,0.22649140626802,"1","SYT6"
"C11H12orf49",0.139276153053591,0.04938629489003,"11","C12orf49"
"LOC715302",0.138888265721387,0.133389056071896,"3",NA
"CHMP1A",0.138761774966304,0.345151780325292,"20","CHMP1A"
"NR2F1",0.13849652963822,0.203792339505324,"6","NR2F1"
"ETFA",0.138433878978049,0.174496267942499,"7","ETFA"
"NARF",0.138418767851149,0.140533993695011,"16","NARF"
"METTL9",0.1382165400927,0.111441063246209,"20","METTL9"
"LRP4",0.138044979873226,0.128573348919658,"14","LRP4"
"LRRC8B",0.138007677258519,0.00544895771448684,"1","LRRC8B"
"CENPA",0.137645263358009,0.120775806172788,"13","CENPA"
"SNRNP40",0.137080514636758,0.0295522538309875,"1","SNRNP40"
"NKAIN4",0.136618666024396,0.0829581522962179,"10","NKAIN4"
"GLT8D2",0.136490453760422,0.149608100950584,"11","GLT8D2"
"ACCS",0.136440596954106,0.202625019312426,"14","ACCS"
"TUBB2B",0.136431089768343,0.387174292456867,"4","TUBB2B"
"NAA38",0.135994540616439,0.167532162060903,"3","NAA38"
"EIF3I",0.135585024393446,0.326630562998534,"1","EIF3I"
"LOC694774",0.135476749534864,0.00795663533187452,"11","SMAGP"
"IPO9",0.135256192343224,0.148137477504762,"1","IPO9"
"LOC719257",0.135209498566497,0.0205751225584783,"15",NA
"ALG8",0.135190692215058,0.0218318491377085,"14",NA
"MRPL24",0.134858952036436,0.0720256571746409,"1","MRPL24"
"DDX39A",0.134342688380672,0.0723792168553697,"19","DDX39A"
"LOC709352",0.133947165013072,0.209864371588241,"19","MEGF8"
