"age","gene_acronym","DPall","MPall","SPall","p2A"
"E15.5","Npas1",0.12625,0.148097,0.0326545,0.0212888
"E15.5","Npas2",0.0128983,0.00804899,0.00870353,0.0199585
"E15.5","Npas3",0.0954683,0.320671,0.411327,0.4634
"E15.5","Npas4",0.0517106,0.05507,0.124623,0.00939255
"E15.5","Npff",0.0982903,0.00095046,0.0012972,0.00296519
"E15.5","Npffr2",0.0386378,0.00955655,0.00986378,0.00779697
"E15.5","Npsr1",0.00703163,0.00551815,0.0168622,0.0168251
"E15.5","Npvf",0.00899776,0.00825736,0.0780678,0.0198677
"E15.5","Npy",0.154056,0.047,0.570414,0.28437
"E15.5","Npy1r",0.00494763,0.0017256,0.00746238,0.00665122
"E15.5","Npy2r",0.0348337,0.0124134,0.0235201,0.00696905
"E15.5","Npy5r",0.0479309,0.0645513,0.0469201,0.00469593
"E15.5","Nr0b1",0.0245244,0.0065138,0.0190512,0.00448653
"E15.5","Nr0b2",0.00969909,0.00931312,0.049358,0.00809315
"E15.5","Nr1d1",0.16613,0.125943,0.135127,0.0991125
"E15.5","Nr1d2",0.016593535,0.02222213,0.023531635,0.01108186
"E15.5","Nr1h2",0.0440303,0.0528751,0.0739512,0.0263988
"E15.5","Nr1h3",0.00770603,0.00656041,0.0146961,0.0111842
"E15.5","Nr1h4",0.0303787,0.0209156,0.0159014,0.00879549
"E15.5","Nr1h5",0.0247893,0.017416,0.0174515,0.0115399
"E15.5","Nr1i2",5.15734,6.21133,5.83699,7.06589
"E15.5","Nr1i3",0.0249477,0.0200919,0.102804,0.00757322
"E15.5","Nr2c1",0.109366,0.0868038,0.0719619,0.118527
"E15.5","Nr2c2",0.168455,0.385913,0.21523,0.197246
"E15.5","Nr2e1",0.242627,0.484344,0.19832,0.0788217
"E15.5","Nr2e3",0.0126594,0.0137983,0.0206629,0.0100608
"E15.5","Nr2f1",4.53781,12.9553,4.67413,10.8128
"E15.5","Nr2f2",0.0172268,0.0430072,0.0597294,0.0417634
"E15.5","Nr2f6",0.0397263,0.0593034,0.0495353,0.0378217
"E15.5","Nr3c1",0.175983,0.219198,0.303667,0.103491
"E15.5","Nr3c2",0.189265,0.617348,0.437868,0.0899763
"E15.5","Nr4a1",0.0548819,0.0605267,0.175372,0.0650648
"E15.5","Nr4a2",1.60989,0.394796,0.94346,4.96462
"E15.5","Nr4a3",0.989209,4.476,0.0588533,0.61116
"E15.5","Nr5a1",0.01555345,0.01489225,0.10050955,0.02510588
"E15.5","Nr5a2",0.00667016,0.0124477,0.00562613,0.00827345
"E15.5","Nr6a1",0.0606227,0.0846713,0.133368,0.0895261
"E15.5","Nrcam",3.30408,2.82218,2.77647,5.3016
"E15.5","Nrg1",0.214017,0.350262,0.173608,0.151537
"E15.5","Nrg2",0.0128737,0.0130949,0.0349912,0.0153286
"E15.5","Nrg3",0.018717,0.00803089,0.00627173,0.01227
"E15.5","Nrg4",0.0127182,0.0146634,0.00879992,0.0540865
"E15.5","Nrgn",4.79611,6.88092,4.67739,9.86523
"E15.5","Nrip1",0.572065,0.0378864,0.10157,0.0112269
"E15.5","Nrip2",0.0104524,0.0226555,0.00682148,0.00651506
"E15.5","Nrip3",0.0334586,0.121713,0.0361236,0.0419932
"E15.5","Nrl",0.0132623,0.00488055,0.00283366,0.00292716
"E15.5","Nrn1",0.454246,1.06345,0.236362,1.07962
"E15.5","Nrp1",1.174315,4.785945,0.8118435,0.31655
"E15.5","Nrtn",0.0252637,0.00602821,0.00886175,0.00249272
"E15.5","Nrxn1",4.43671,6.52129,3.28295,7.72498
"E15.5","Nsd1",0.309609,0.716468,0.419113,0.547335
"E15.5","Ntf3",0.0336588,0.0582278,0.0181834,0.00770857
"E15.5","Ntf5",0.119336,0.0659782,0.0159363,0.0270344
"E15.5","Ntm",0.525285,1.09412,1.91256,7.91972
"E15.5","Ntn1",0.0567785,0.0744629,1.1868,0.259933
"E15.5","Ntn3",0.046417,0.0140175,0.0150449,0.0118305
"E15.5","Ntn4",0.0281611,0.0298216,0.031798,0.00615265
"E15.5","Ntng1",0.0720802,0.570171,0.19925,6.42926
"E15.5","Ntng2",2.00321,4.23935,0.4698,2.48202
"E15.5","Ntrk1",0.0118589,0.0468174,0.0539851,0.020267
"E15.5","Ntrk2",1.79763,2.21828,3.08538,4.31289
"E15.5","Ntrk3",0.0110899,0.040994,0.00643298,0.011981
"E15.5","Nts",0.0322913,0.0208118,0.307454,0.0356647
"E15.5","Ntsr1",0.00836513,0.00771165,0.0208067,0.00856238
"E15.5","Ntsr2",0.00687702,0.00476367,0.0234739,0.00395112
"E15.5","Nucb2",1.47507,2.77433,3.71758,2.65778
"E15.5","Numb",0.0072096,0.0083152,0.00948501,0.00998924
"E15.5","Numbl",2.03326,2.40529,2.78019,0.574097
"E15.5","Nxph4",0.0520575,0.136538,0.0857475,0.0642444
"E15.5","Obox1",0.0103568,0.0294484,0.00813162,0.022902
"E15.5","Obox3",0.0169753,0.017119,0.0401168,0.00343008
"E15.5","Obox4",0.0116722,0.00837299,0.00866024,0.00980855
"E15.5","Obox5",0.0359531,0.00720302,0.00886978,0.00460416
"E15.5","Obox6",0.0692343,0.0325114,0.0310052,0.0228473
"E15.5","Odz3",0.656012,0.605936,0.741325,4.93055
