"V1","V2"
"LOC716656","3M"
"LOC712485","3M"
"LOC701239","3M"
"LDLRAD4","3M"
"TMOD1","3M"
"FAM198B","3M"
"LOC713855","3M"
"FAM134B","3M"
"ZCCHC12","3M"
"SPATS2L","3M"
"SLC17A6","3M"
"TLL2","3M"
"PLXDC1","3M"
"HHIP","3M"
"DRD2","3M"
"HNT","3M"
"MAN1C1","3M"
"MSRB3","3M"
"FAM19A1","3M"
"KLHL25","3M"
"RIMS3","3M"
"LOC701416","3M"
"TMEM125","3M"
"CAMK2N1","3M"
"LIMD1","3M"
"C13orf36","3M"
"NRP2","3M"
"MCTP1","3M"
"LRRTM2","3M"
"LOC100428914","3M"
"CORO2A","3M"
"NUAK1","3M"
"GFRA1","3M"
"CHST11","3M"
"CNP","3M"
"PDE9A2","3M"
"MRAP2","3M"
"RUNX2","3M"
"SSTR2","3M"
"CDH22","3M"
"TANC2","3M"
"ADAMTS4","3M"
"EGR2","3M"
"VAV2","3M"
"TMEM215","3M"
"LOC714966","3M"
"SIPA1L2","3M"
"PDYN","3M"
"CPNE4","3M"
"PPEF1","3M"
"LOC100428522","3M"
"DET1","3M"
"BHLHE22","3M"
"C1S","3M"
"GRB10","3M"
"BTBD3","3M"
"MEIS2","3M"
"NXPH3","3M"
"HTR2A","3M"
"LOC694510","3M"
"NEK2","3M"
"SHROOM3","3M"
"UST","3M"
"LOC701524","3M"
"CXCL14","3M"
"BTG1","3M"
"LOC696649","3M"
"PLCB4","3M"
"ARL4D","3M"
"LOC712795","3M"
"DACH1","3M"
"DACT1","3M"
"GPR37","3M"
"TOX","3M"
"VIP","3M"
"ZNF184","3M"
"FEZF2","3M"
"AK5","3M"
"SPP1","3M"
"KCNH8","3M"
"ADAMTS19","3M"
"LHX2","3M"
"KCNN2","3M"
"PTPRT","3M"
"HS3ST4","3M"
