NCX_E50	NCX_E70	NCX_E80	NCX_E90	NCX_E120	NCX_0M	NCX_3M	NCX_12M	NCX_48M	HP_E50	HP_E70	HP_E80	HP_E90	HP_E120	HP_0M	HP_3M	HP_12M	HP_48M	AM_E50	AM_E70	AM_E80	AM_E90	AM_E120	AM_0M	AM_3M	AM_12M	AM_48M	BG_E50	BG_E70	BG_E80	BG_E90	BG_E120	BG_0M	BG_3M	BG_12M	BG_48M	TH_E70	TH_E80	TH_E90	TH_E120
NPR3	UNC5D	PDGFRA	SIKE1	LOC100423462	HSPA8	OPALIN	ACSM5	ASB8	SYT4	NPY	BBOX1	SLC16A1	DIO2	CALCR	PLP1	DDX26B	LOC694923	SLC8A1	HAPLN1	LHX2	KCNT2	TUBA4A	GJB6	ADAMTS4	GSTM2	ABCD3	TAC3	TMEM100	THSD7A	SPATA22	ST6GALNAC2	KLK6	LOC699022	CCDC110	PRELP	MLC1	MT3	KCNT2	SLC12A8
HIVEP3	SYNPR	LOC701153	SPARCL1	KCNA6	CRHBP	PLP1	WWC3	CYB5D2	GRIN2B	LOC695100	RERG	AGAP1	CXCL14	CTXN3	LOC100426215	TPD52L1	SRRT	SH3RF3	ATP1A2	RGS4	COBLL1	AIFM3	F3	S100A1	OLAH	DOCK5	GABRB1	LOC717705	CCDC80	CADM2	SLC17A8	SAMD8	ERMN	CENPJ	S100A6	PMP22	RFTN2	SNAI2	LOC712579
UNC5D	C1QL2	FAM198B	LOC100429880	SPARCL1	KCNJ9	TMEM155	LOC697267	SCN2B	LOC100430941	LOC708561	ITPR2	LOC694909	FRZB	NCEH1	RGN	LOC100426406	PACSIN3	GRIN2B	STAT4	RORB	SLC16A1	ITPRIPL2	LOC712742	RASD1	LOC700629	MOG	PAG1	LOC701270	UGT8	GATM	KCNA6	ERMN	KIF5A	ACBD7	DHX58	LOC699459	LOC717705	LOC716225	ACBD7
STMN2	SEPT6	P2RY12	LOC710257	CALB1	LOC100424724	ITPR1	MYLK	KCNS1	FBXO32	GAD2	MLC1	LOC696317	WIF1	LOC711448	LGALS7	OLAH	LRMP	C1QL3	STXBP3	MET	ELF5	FOLH1	DHX58	LOC721178	MYLK	HSD17B6	GUCY1A3	CRYM	LOC716862	SLC16A1	SPAG6	LOC100428051	ARRDC2	LOC100425364	HHATL	HAS2	ANKRD34C	LOC703716	GPR37
LOC698043	LOC100429485	HAPLN1	SLC8A1	LOC695315	THRB	TMEM144	AKAP12	ITPRIPL2	GRIA2	MCF2	PTN	CADM2	EPB41L2	GPR89B	LOC703889	ACSM5	PPA2	DERA	SLC7A11	SOX9	SPTAN1	GABRA5	SGPP2	WIF1	LIPT1	SCN2B	ARL9	PRSS35	NECAB1	PLCD3	BCAS1	DLD	C11orf17	RSRC1	ITPRIPL2	TMEM100	PTPLAD2	LOC716712	NKX1.2
WDR47	MUC4	GRIN3A	FGF1	IGSF1	UNC80	BHLHE40	GANC	LOC701145	LOC100424932	PCDH8	IGF1	PTPRU	EDNRB	SGPP2	LOC719523	HSPA4L	LOC717240	KCNS2	LOC720563	ITPRIPL2	SPINT2	KLHL24	TSPAN16	NTSR2	SCGB3A2	ADSL	PLXNA4	PITPNM3	KCNH7	GFAP	LOC722104	STAT1	LOC721178	BHMT	HSD11B1	RGS16	HS3ST5	PAPSS2	CYP1B1
ALDH1L2	DEPTOR	LOC702906	PCDHA11	EGR3	LOC707198	LOC703544	SEC14L5	NACC2	LOC100430346	SYNPR	CYBRD1	GRIK1	SLC44A3	SYNE1	LOC708114	DZIP1	BLOC1S1	SCRG1	MYBPC1	CCDC122	WDR35	LUM	CPLX1	CLDN11	METTL7B	FAM70A	LOC100428777	LOC695412	RUFY3	LOC710257	GFAP	RBM20	OPALIN	FMN2	LOC100431004	FAM163A	PTCHD1	ZNF638	GAD2
GABBR2	FHDC1	GAD2	SPATA6	NCALD	TMEM155	ANXA1	LOC699173	PLP1	STMN2	DNCI1	LOC712600	NEFL	ZDHHC14	SCN3B	TNMD	PDZD2	LOC712839	SLA	RPRM	PABPC1	UNC80	SLC15A2	IRAK3	CPEB1	LOC707432	SERPINA3	L1CAM	ARPP21	KAL1	CLDN10	SULF1	ANLN	EFHD1	LOC699512	C7	BBOX1	NECAB1	ZNF217	GJA1
ZYG11B	HOPX	ERBB4	UNC80	CASKIN1	NPAS4	CBR3	MRPL44	LOC713349	SPHKAP	STK32B	GJA1	LOC100428051	PPP1R3C	C8orf34	MFAP5	PM20D2	PKM	LOC713016	CYBRD1	LOC697915	ZIC2	DSCAM	SSFA2	EFHD1	NUDT1	LOC694923	TACR1	GNG12	MED13	C5H4orf33	GJA1	PUS7L	LOC707371	ADAMTS1	ODF4	PTPRZ1	OSTF1	SYCP3	IGF1
COL19A1	SLCO1C1	SLC7A11	HIVEP3	ADCY1	PLP1	PON3	LOC701501	LOC100428051	LOC722098	KLF4	S1PR1	LOC716225	GPC5	YWHAH	KLK6	FAM107A	LOC722173	GRM1	KIAA1024	LOC100423098	LOC713636	OGN	NPAS4	LOC711108	MT1X	LOC695330	DBC1	LOC100429485	ZNF451	AGAP1	CD48	GLRB	SLC5A11	LOC707432	ASB5	LGALS1	CNTNAP2	ARAP2	ADAMTS5
