NCX_E50	NCX_E70	NCX_E80	NCX_E90	NCX_E120	NCX_0M	NCX_3M	NCX_12M	NCX_48M	HP_E50	HP_E70	HP_E80	HP_E90	HP_E120	HP_0M	HP_3M	HP_12M	HP_48M	AM_E50	AM_E70	AM_E80	AM_E90	AM_E120	AM_0M	AM_3M	AM_12M	AM_48M	BG_E50	BG_E70	BG_E80	BG_E90	BG_E120	BG_0M	BG_3M	BG_12M	BG_48M	TH_E70	TH_E80	TH_E90	TH_E120
API5	KLF5	PPA2	TMEM176B	H2AFJ	TBL3	PEX5L	C19H19orf54	GABRQ	LRRFIP2	LOC695301	RAD1	AVEN	COL11A2	LOC702903	QSER1	ADAMTS20	KCNA1	ARVCF	LASP1	TRMT2A	PIK3C2G	TBCEL	NDUFS2	OSBP	LOC697012	LOC100428810	AHCYL1	ASB1	RGS16	LOC100424938	BCL7B	LOC713636	ARSJ	LYPD6B	RNF175	GMPPB	ZNF426	LOC704750	LOC708335
TRIM3	LOC718715	CYTH4	CNRIP1	SPICE1	SH3PXD2A	LOC697857	AIF1L	PWP2	HTT	BTG1	YBX1	ZNF507	TTC7A	ACPL2	MKS1	DSTYK	CREG2	TOP1MT	ITGB3	LOC721734	NFYB	PPCS	LOC100426759	LOC715325	TARBP2	TSPYL1	LOC718556	YWHAH	LOC709521	THY1	LOC706589	LOC696882	LOC100423404	MYO5A	STK25	CRADD	PPP1CA	IRF6	SNRPB2
AGPAT1	GLYCTK	LOC708335	USP18	FBXO34	MXRA5	CISH	SGSH	ZMYM4	LOC699821	ROCK2	LOC100429306	IL1R2	FGD5	CCNA1	HERC3	EYA1	ZMAT3	GLTSCR2	PSKH1	HOXA2	SNAP91	MMS19	LRRC28	LOC718777	ZDHHC13	ARHGEF3	PPP5C	ADAMTS20	TNFAIP8L1	RNFT2	NLGN2	APPBP2	LOC710913	PTCD3	LOC693626	RABAC1	LOC717481	SH3GL2	LOC709902
TP53BP1	LOC715195	MAPK12	MSC	MTR	LRPAP1	MRPS25	TSEN2	SKP1	LOC722266	OSBPL7	LOC714244	WDR66	LOC717956	UPF3B	NDE1	PIK3R4	LOC693900	NUDT17	LOC718467	LEPR	PIGS	C1S	ZNF740	RBM11	SIPA1	NOTCH3	AZIN1	WHSC2	UNC5C	PWP2	RPP14	WNT2	LOC699757	SNTG1	TRIM11	CDC123	SLC7A6OS	RASA3	SPECC1
SNAPC4	LOC699778	TRAM1L1	LOC100429508	LOC721312	NOL9	TIGD4	PAQR3	EMX1	C11H12orf44	ZNF496	PPAT	MARK4	ADAMTS9	MRPL9	RFWD3	ZNF395	ISLR2	EIF2C4	LOC709469	TENC1	FAM113A	BCAS4	LRRC57	RSPO2	EDN3	LOC711900	EPB49	ZNF384	LOC713783	RHBDL1	FAM195A	PTHLH	HSPA4L	HFE	CLDN3	LRRC1	LOC719390	HTR1D	ZCSL2
LAPTM4A	ADPRHL2	CASR	DNMT3B	LOC718537	LOC702452	ENTPD4	NOVA1	PSD3	MEOX2	TCP1	GADD45B	LOC716998	INTS6	ZDHHC4	TRIM11	TMEM216	HGD	C3H7orf50	LOC708104	AKAP7	ACOT6	ADRA1A	RALGAPA2	ARMC8	BAI1	LOC720828	LRRC8D	HTR1E	RAB9A	PEX13	RARS2	TMEM26	LOC100427824	LOC695372	ZNF192	LOC720329	MOSPD1	NR1H3	XPA
CCL25	MEOX1	LOC719205	KIAA1967	LOC696956	COMT	VSTM2A	CNTN2	ZNF507	LOC709615	GALNT11	TMEM248	NDUFB5	TXNL4B	STMN4	C2CD2	KIAA0586	GNL1	MED16	IL12RB2	LOC718495	ING5	LOC696224	LOC716361	FKBP1A	KCNH8	LOC717042	C1GALT1	FAM38A	LOC701522	SESN1	DRD5	EMC2	POLR2F	PIK3CA	PIGA	HYI	DAPK3	UBA3	IPO9
LOC719033	AKTIP	MGAT5B	GGT7	SLC2A13	MALSU1	LOC698067	LOC696004	ZNF148	CEP95	ZNF33B	LOC100427816	EPB41L2	ZDHHC24	SSTR1	SH3PXD2B	PION	PBLD	HSPA5	PDLIM5	C2H3orf14	STAM	LOC696315	LOC709352	RANBP6	RNF123	USP20	IVNS1ABP	SNX13	PPOX	RBKS	CCT4	KCTD14	MRPS34	LOC100425987	ARVCF	MRPL28	LOC702912	LOC717531	EDC4
LOC695921	MUS81	DHRS3	LOC717713	CLTA	COMMD2	LCP2	MAPK8IP3	PDHA1	LOC709287	GREM2	MRAP2	REP15	FAM3A	SAP18	BRP44L	UBE2D3	LSS	CKS1B	PFKFB2	CKS2	HS6ST2	ATP10B	LOC100424988	SGIP1	WBP4	FAM134A	LOC708973	ZNF319	KIAA0020	LOC713976	KCND3	GDAP1	DNMT3A	GALNT12	PSMA1	PHF13	TLR7	C14H11orf31	AARS
UIMC1	GFRAL	LOC721131	POLA1	LETM1	CMTM6	LOC701903	NCEH1	PYGL	ACLY	TCEA1	SOAT1	TGIF2	LOC697267	ARMC9	LOC697825	MYBL1	PEX2	LOC702855	DCDC2	LOC716146	CEP78	DENND1A	PAIP2B	LOC100424302	LOC717834	TRAPPC3	SMIM1	CTNNB1	NPAS4	PSMD1	CEP19	SEC24B	ANXA5	ARHGAP9	IREB2	MIPOL1	LOC695383	DCK	DDRGK1
YTHDF2	BCAS1	LOC722516	HECW1	VIMP	TYRP1	CKAP2L	SLFN13	HDAC5	KCNK12	LOC719891	CDC37L1	SLCO3A1	QSOX1	TSC22D3	MECOM	ST18	LOC704219	TBC1D17	ITGB8	DNAH5	CCNL2	SDC3	RAB18	TM4SF20	SPATA5L1	LOC711526	LOC709695	FNTB	LOC698057	XPOT	HDDC2	LOC714577	LOC722205	LOC698413	PGAM5	LOC100427654	LOC716378	CCND2	CUL1
LOC100429153	LOC722157	LOC699771	RB1	FN1	SERINC3	ATP6V1D	STAT3	SNAP91	OCIAD1	EMILIN2	LOC713469	ROM1	LOC714964	MPP2	IFIT2	POLH	ARHGAP44	IFT52	CHERP	BTBD16	SMARCAL1	CCDC67	VPS8	LOC718705	LOC100426375	TYK2	CD151	UBE4B	HIST3H2A	ARSF	SLC38A11	PREX1	GKAP1	KDM4C	MRPS35	TMEM50A	PLEKHM3	ZNF93	GPR6
ATG16L1	LOC703827	MCF2L2	NEK2	LOC710219	DCAF11	LOC100431069	UBE2I	SETMAR	CLEC2B	EFCAB1	LOC701718	C4H6orf136	NLGN4Y	LOC695392	TMEM27	DNALI1	SPTBN1	ARHGAP23	INPP5J	FTSJD1	AKAP9	X76P	PGAP2	MGST2	CMC1	HNRNPR	AAMP	USP20	TCEANC2	LOC704611	GCDH	LOC716252	AP3S1	SDAD1	UBE2G2	SLC30A3	FOXN4	CTBS	SERAC1
KPNA4	ADCY6	LOC695810	DYNLT3	RABL6	ENOSF1	P2RX7	COL16A1	NMI	PCDHA10	TRAPPC6B	AIM1	CLDN2	LOC712819	MAB21L2	KLHL21	GNL1	BAZ2A	SYT3	BLOC1S3	LOC100429776	CD14	CAMK2D	LOC705851	TPD52L1	LOC704395	PTPRK	LOC711178	CDKN2D	IPCEF1	KIAA1967	TLR7	SYK	LOC694416	TRIM7	AP4M1	LOC705865	ABHD13	C5H4orf51	LOC699426
LOC709915	LOC722617	SGTB	ASNSD1	NUFIP1	ECH1	PARP9	LOC713753	MRPS22	CECR5	LOC693764	LOC716462	LOC705546	CA3	POLR1B	DNAJC1	LOC719540	LOC715318	LOC714632	C15H9orf85	ZNF24	LOC713688	PTCH1	PRR5L	SCRN1	PSMD10	FAM131B	LOC716917	RILPL2	TMEM170B	LOC719033	RBM15	SUGP1	IQCH	RPAP3	FREM3	GADD45B	GEM	MX2	TMEM231
RABL2B	VPS13B	WDR37	ARSE	AMMECR1	LOC718985	LOC694075	ROBO4	KLF10	DROSHA	SLC16A4	OTUD7B	NPHS2	RFX2	LOC711633	ERH	LOC696673	FHOD1	RBM4B	AMIGO1	ERG	DDX17	LOC717153	TMEM47	PHC2	GPC4	TTLL4	ITPKB	ABCB10	LOC722191	ASAH1	SLC38A1	ORMDL3	LOC100424500	GADD45A	SPG20	FAM174A	BOLA3	EMC6	THAP9
ATP5G1	ELK3	DLG1	TNFRSF10D	C19H19orf54	KRT20	LOC701728	RHOB	RUFY3	CCL3	C10H20orf195	CA4	NUDCD1	ADH5	TLL1	LOC710801	LOC716722	LOC717832	KLC1	FAM116B	LOC100424740	MAFG	RNF43	PRKD1	ILDR2	POLL	ZSCAN30	LOC704112	C13H2orf73	GPR155	IMMP1L	WIPI2	LOC717062	MORC2	B4GALT6	RORC	LOC721275	RFX3	LOC716567	C14H11orf9
LOC710246	PGM1	LOC693912	LOC712982	GSTM2	BRPF3	WFDC10A	IFT52	MCF2L2	C19H19orf10	SIK3	LOC100430802	CDHR1	CTCF	LRRC8D	SH2D3C	LOC705402	LOC708928	LOC717748	SIGLEC5	PDLIM4	LOC700208	LOC715029	SF3B3	FBXW7	PLCXD3	SIRT5	LOC696925	DDX1	AP4S1	LOC718812	TRIM9	LOC100423804	VPS13B	LOC712329	SIGLEC5	AMACR	ARSA	PSMD10	DNAJC6
C4H6orf211	LOC714702	PYGO1	AMICA1	LOC710844	KIF5B	GALC	CDO1	RHCG	ZFYVE26	WBSCR22	LOC100430361	LOC699481	LOC715145	TNMD	ACTN4	CA3	IL6R	TMEM39A	PAXIP1	LOC717241	MIPOL1	CKAP5	LOC717276	LOC718902	LOC100429858	TDP1	SEC22A	ZNF165	CD9	FKBP7	OSBPL2	TREML1	DSE	LOC698941	SLPI	FKBP8	ARL6IP5	SIGLEC1	LOC694416
ZNF770	TUBB2C	NCBP2	GADD45A	WRAP53	LOC710236	RNF149	LOC721674	LOC100428736	SRA1	LOC706090	XPR1	LOC721324	CRMP1	ALS2CR4	NUMA1	NEXN	EP400	BCOR	NR2F6	C7H15orf59	GCAT	HYPK	PTGER3	LOC693528	CRIM1	GART	UGT2B15	SUMO1	LOC715864	ING5	LOC712734	LOC701612	TBKBP1	LOC704516	PDZK1IP1	LOC703934	ACN9	LOC696658	LOC697608
BCAS1	ATP6V1G2	CTU1	LOC694817	UNC50	SLC16A4	SLC15A2	TTC37	MRPL24	LOC713616	FKBP2	LOC693884	PC	SC4MOL	LOC718263	FIGN	NDFIP1	SESN1	STMN4	LOC100425187	CIAO1	HYPK	FOXJ3	ZNF12	LOC100426570	SLC16A3	ERC2	PIP4K2A	GFI1B	SLC9A10	AMY2B	SEC24D	RRP7A	HNRNPH3	CYTIP	TYMS	NFIX	ZFAND5	PACS1	TTC17
BRAP	LOC697476	JUNB	PPIH	MDGA2	EYA3	SMURF1	TTC7B	CAPRIN2	LOC705419	LOC100427889	NEFL	KIAA1244	PSMB4	HPCAL1	WFIKKN1	PROP1	ZNF329	ADAMTS7	KDM1B	LOC710647	NRTN	PTPRD	RPS6KL1	TBC1D9	GNA14	LOC722368	MEIS1	LOC697570	XPC	LPAR1	ANKLE2	LOC694510	TTBK1	LOC100425947	GTF2F1	TMEM42	BTBD17	ZNF560	MMP1
LOC702514	MGST3	LOC698029	CACNA1E	RREB1	CLCN6	KLF15	HCFC2	EEF2K	LOC716423	LOC718946	SKP1	UQCR	SRP68	MCOLN1	LOC713204	LOC720466	BCAS4	ACVR1B	AKAP1	LOC708874	C1QL3	SPRED1	COQ6	APLP1	LOC100430520	FKBP4	LASS5	PLBD1	RSL1D1	CDCP1	TOR1AIP2	C3H7orf25	ACSM1	CCDC8	TIAM1	CSF1	LOC711561	CNGA3	LOC709826
ZNF426	SRL	BTBD11	PLD6	NTN4	GZMK	LOC100425520	CD82	LOC100425699	GNL3	GPR61	LOC713237	ADCK3	LRRTM1	LOC695372	LOC100424543	SELT	BLNK	SEMA4D	ERF	ARL6IP5	LOC709490	LOC707700	CEP63	WBP11	ANKS1B	LOC696981	LOC706590	CPLX3	LOC698670	LOC697032	EIF2S1	KCNJ3	CXXC1	C7H14orf2	OTOS	SNTG2	LOC703116	CHST8	C6orf125
CNTNAP1	DGKI	ERH	LOC708858	RALA	SRD5A3	LOC712742	LOC719149	LMOD2	GTDC1	LOC695217	LOC700767	LOC100423084	C3orf31	SQRDL	WNT8B	LOC716378	BAALC	LOC719538	LOC707289	SRC	KANK2	MFSD6	LOC100429949	TTR	LOC694135	MORF4L1	LPAR6	LOC100430974	LOC716331	ZNF524	LOC700603	LOC100424521	STARD9	FAN1	SIGLEC1	ACOT9	LOC100429862	NPY5R	LOC100429212
C2CD2L	LOC708898	ATG7	PPP3CB	EIF2B5	C5orf35	WBSCR17	TMUB1	WARS	FN1	PHF20L1	LOC100428667	LOC708606	WDR48	INTS8	FASTK	NLRC5	LOC693820	LOC100425707	SHOX2	USP6NL	KIF2C	HSPB1	POLR2C	MPV17	PLEKHG2	LOC699642	ABCA7	LOC710549	LOC715250	LOC722507	CBR3	DYNC1LI1	MAD2L2	KCNT2	LOC722516	SLC12A2	LOC698787	TMEM254	LOC709053
LOC716572	LOC697977	CPSF2	CMAS	EGFL8	TRNT1	DNAH6	LOC100430740	OBFC1	TMEM39B	NDUFB10	FUBP3	ZNF282	RAB5A	LOC711778	LOC695458	LOC713858	LOC700019	LOC693940	LOC703685	TTR	MAPKAPK5	POLE4	GPCPD1	LOC704705	UBP1	NUP153	CLUL1	RMND5B	LOC717117	KRIT1	RAB11A	PDE4B	SNX9	ABLIM1	LOC721633	LOC715892	CAPRIN2	ARFGAP1	PHLDB2
GALK2	LOC716304	LOC698354	APAF1	DGKA	LOC100426971	CCDC92	RDH12	DUT	LOC715195	LOC717999	LOC708688	LOC707842	ELK1	NLRP3	FAM134A	N6AMT1	ACOT2	GPRIN1	PTPN9	UBE2J1	CHRD	RPP30	LOC695412	ZNF174	LOC718872	NEK3	TNRC18	UPB1	EPHB1	HAGHL	BAI3	LOC100426292	KCTD12	LOC100426729	SERINC2	FZD2	ADAMTS1	GTDC1	TESC
GSTZ1	MUL1	LOC698552	SIPA1	STAMBP	OGDH	LOC699435	TLK1	LSM12	BLOC1S3	LOC100429676	LOC714424	LOC694924	MCM4	SETD2	FDFT1	CHUK	LHFP	ZNF7	DDIT3	LOC100426884	LEMD3	LOC717864	RPGRIP1L	LOC100428409	C13orf15	DEXI	CORO1A	LOC717546	HDGFL1	WFDC10A	HEMK1	GFM1	PCNP	PHOSPHO2	ZDHHC1	DERL2	EPS15	CSF1	PRKD3
HNRPLL	LOC698899	SNCAIP	HPN	LPAR3	PARD6A	NDUFS5	AP2M1	NCEH1	SMARCC2	TMEM155	LYPD6B	LOC696987	LOC100428914	SEPN1	F11	RSPRY1	DENND5B	CDH7	ZNF319	LOC706833	LOC711567	PEX6	PPP2R5C	AIFM3	CRTC1	TMEM56	WRNIP1	MTHFS	LOC698250	GOLGA5	GZF1	GPR63	KLHL11	TMBIM1	KIAA2026	LOC718040	LOC100426535	AGPS	ADAMTS4
CLEC2B	CHST2	LOC702028	SIRT5	SBK1	TMEM126A	CD69	ZBTB26	SOD1	IFNGR2	LOC696126	TH	NR1H3	IFI6	CLPP	LOC694086	GTF2E1	ADAMTS8	VWC2	SIK3	LOC696140	WNT5A	RERG	NUP188	PDGFD	LOC708858	MKI67IP	AARS	LOC722727	TMEM90B	MOSPD1	TM2D2	FBXL3	LOC716195	NGLY1	THOC6	KCNIP2	GRID2	LOC716859	ZDHHC5
LOC695669	NCSTN	RGS9	NPNT	PLCB3	LOC697171	RABGAP1L	STARD3	BTBD11	HARS	LOC100430621	CHRNA7	MYCBP2	MRPS27	PRPF18	LOC705624	CAB39L	LOC718666	RBM23	HNRPDL	NUP133	MSC	TGIF1	CPA6	ACER3	LOC713858	PTX3	BLOC1S3	WDR20	AKAP14	KIF2C	ATG2A	U2AF2	MSN	RFWD2	TRIM46	LOC696548	CTNNA3	SEMA6C	TMEM59L
POLR1B	FASN	ATP1A1	HERC2	RIMS3	PKHD1	LOC713524	LOC718340	LOC713159	C5H4orf27	RASSF6	IL15RA	GIT1	TRIM6	ARNTL	ADRA2A	UROD	RPS20	LOC718494	RAB22A	LOC693729	LOC707708	MEF2A	SAP30L	MORC4	ALKBH7	FAM46A	AVPR1A	LOC720288	TNK2	PEX10	LOC704041	NUDCD3	LOC711299	LOC100428458	RECQL5	DGUOK	CMTM7	CRAMP1L	LOC704640
CLPP	GRIN1	SOCS3	LOC708929	BOC	RAD54L2	SCNN1G	DNTTIP1	LOC711252	LOC100423695	LILRA2	BRF1	ENPP5	CNGA3	FMR1	WDR82	BATF	LOC716728	PPP3CB	HPCA	DEFB122	PRKCH	ZNF282	TRIP12	XRCC6	KCNA4	PDE1A	DDX21	LOC719116	PRUNE2	GABBR2	VWA5B1	LOC100424753	LOC715963	DEPDC1	LOC707995	WIPI2	OTOS	SERTAD2	SAMHD1
KCNK9	ATP11A	LOC712982	WDR48	LOC718720	SLC25A20	LOC716932	LOC696549	OPRM1	AQP3	AQP7	SYT9	C3H21orf59	ZMYND12	RNF125	HTR1D	ARFRP1	GPR22	TUBB	OCEL1	TBL2	MOB3B	LOC713561	R3HDM1	G0S2	PDGFA	LSM4	LOC695612	SNAP91	LAMA4	LOC718665	DST	THSD7A	LOC716822	ELMSAN1	CDC25C	CITED1	PLK4	FXN	PTK2
TMOD4	CTAG1A	YPEL4	WDR17	NDUFB2	PCGF6	TNFSF18	MRPL38	NUAK2	PCDHB15	STX5	SLC5A11	DUSP16	ADORA2B	CA12	LOC712258	LOC719538	RDM1	PMM2	CLDND1	SULT2A1	WBSCR17	LOC100427810	RLBP1	MSH3	NCSTN	CCND3	TPH1	NRG4	C13orf26	NDNF	ZNF239	RBM7	ETF1	LOC719357	LOC100428667	ZNF267	NAAA	COL4A6	CARS2
LOC709517	SLC38A11	SLC27A1	LOC713468	MCRS1	STAU2	GPM6B	E4F1	NDUFS2	UBXN6	NCOA3	B4GALT5	COL4A1	CCDC81	LIMD2	XRN1	USP31	SNAPC3	UBE2F	AQP3	SDC1	SLC44A2	LOC713530	MYO10	LOC721566	GRM3	EZH2	NXPH3	OGDH	GFPT2	DTNB	LOC704705	HSF2	NDFIP2	CNOT8	TM7SF2	C4H6orf106	EFCAB5	XPR1	LOC717813
LMO7	C9H10orf120	SMTNL1	RHBDL3	IDS	GRB10	FEM1C	HILPDA	HSDL2	SLC35F4	PITRM1	PDE7A	LOC709419	LOC721262	ACSS2	RNF112	MORF4L2	SIRT1	DDX20	DRG1	HMGA2	ACBD6	NDUFB2	LOC705402	SH3GL2	PC	LOC697057	HP1BP3	GALNT7	MCF2L	LOC708751	PSMA4	JMY	LENG1	SYT9	LOC721795	CLSTN3	GALNT14	FAM210A	LOC100429551
LOC712644	CAPN2	C13H2orf49	CDC14B	SEC14L5	SPINK5	LOC718145	VKORC1L1	LOC711175	LOC716970	AZI2	LOC715769	ASXL2	LOC714181	GPLD1	LOC100430860	LOC720282	INPP5F	FHL2	PPP1CB	N6AMT1	LOC712753	PPFIBP2	ABCC3	LOC703827	LOC714190	APBB2	WNK2	VWA1	KLC4	LOC714794	WAC	NUAK1	AARS	LOC714892	POMP	SAV1	DAPP1	MFAP5	GPR56
RCBTB2	OTUD4	AMOTL2	GAMT	SMC5	PAXIP1	EMILIN3	SMIM5	MRPL12	TCOF1	AIMP1	ISM1	SMARCA1	LOC710736	ABHD2	LOC707723	PYROXD1	ILK	LOC717534	LOC722085	HEATR1	IL15RA	COL8A2	PTGES3	GSS	CCND3	H2AFX	ZBTB33	ACOT13	NNT	LOC711505	FLVCR1	C4orf14	DCAF17	LOC708060	MAT1A	C19orf56	SUGP2	HOOK1	UGGT2
CC2D1A	ZNF20	KERA	LOC712107	HSD17B6	EIF4E3	ABHD14A	LOC719331	DPP4	ATG13	HMGCR	RNF133	LOC100430373	LOC701933	BRS3	ZNF436	RSPH3	ANAPC13	TLK2	ZNF473	AUH	FDXR	SOX9	PSMD4	SORBS3	LOXL3	LOC718472	ZMAT1	CAPG	SYT12	DPP4	SDF4	SP2	GALNTL4	PHLPP2	CABLES2	MYL5	LOC697095	SLC45A1	EXOC1
GPAM	CTXN3	NDUFS4	ATF7IP2	LOC715758	CCDC47	GSS	HERC4	SLC16A8	LOC695959	EXOC8	KDM3A	XPNPEP2	HSPG2	LOC716647	LOC100426722	WDR43	EIF2B1	PCOLCE2	PRKAA2	COA1	EIF2A	SLC45A4	TMEM168	NUDT21	LOC701933	C19orf61	LOC696739	TLL1	LOC703685	LOC722577	RRAGC	C20orf29	PKD1	AP3S1	CA3	LOC715973	NCKAP1L	TMEM91	SPATS2
LOC100423163	PPP1CA	ZACN	CTSK	KCNJ13	GTPBP10	RRAGC	UNC5D	AMBRA1	PUF60	LOC721211	TCEAL7	MAT1A	SH3PXD2A	MARS	LOC719766	LOC711526	PTPRZ1	ACVR2A	LOC702644	CPB1	ABCD3	MAX	LOC698808	B3GNT7	GOLGA7B	GTF3A	ADAMTS2	IFFO1	SRSF4	HAPLN3	SDHB	TCEAL7	LOC714595	COL4A6	FOXP4	LOC705220	LOC699682	LOC700219	LOC695886
LOC708903	MAPK10	CPB1	WNT8B	PCDH18	FCER1G	WIPF3	ZNF326	KLHL5	SORD	CDC5L	GSN	FAM158A	STARD3	CDKN2AIP	IRX3	MBD5	ATP5SL	INPPL1	EI24	LOC713524	KIAA1409	PHF17	ERLEC1	LOC699910	SPAG1	RPLP0	LOC701263	PCDHB13	CHD7	LOC716305	DISP1	RAP2C	VAMP7	CCT2	LOC696366	SYCP3	DLAT	MPHOSPH9	NDUFB2
TFDP1	COL11A2	MTA2	ACCN2	DNAJC2	SERPINH1	GPR128	GPC1	ADAMTS9	FOXO3	PDLIM3	LOC712408	SCAF11	TMEM132C	NDUFA10	ZNF667	HSPB1	ATP6V0E1	ZMAT3	PER1	GAL3ST1	PLEKHA2	CAMK2N1	ST7L	OAZ1	LOC717055	CELF1	SLC6A13	CREG1	DNM2	LOC696389	SNN	CHD2	PHACTR2	LOC698272	RAF1	LOC717189	CTNNB1	ZPLD1	SLC25A39
TRIM68	RINT1	HNRNPL	LOC719645	S100A10	GPBP1L1	FILIP1	UBA6	LAT2	RSPRY1	SLC25A30	LOC705659	DAPP1	LOC100427765	LARP6	NKX2.1	FBXO10	TRIM24	C6H5orf30	STEAP3	LOC709285	LOC717082	LRRC29	LOC100423096	DDAH1	CCBL2	LDHD	SLC25A31	CAV2	GEMIN4	ZNF799	GRM1	TNFSF11	ATP5A1	LOC714302	GALNT10	LOC696295	ACCN3	LOC711772	LOC715891
POMGNT1	LOC718882	TJP1	SLC26A2	LOC711480	MIEN1	CNDP2	LOC717857	LOC100425933	SLC46A3	ARL4A	NPTX1	SASH3	KDM4C	LOC713213	SAE1	RAP1B	CCDC157	WBP11	LOC709993	CCDC82	CLCN4	ZNF263	LOC710457	RNF133	POMT2	SLC25A27	NMT1	C13H2orf76	SLC38A11	LOC722083	LOC703022	NAA35	ST3GAL3	KDM5A	LOC716766	LOC712361	WSB1	ARNT	ACTR3B
PLEKHJ1	TBP	LOC715963	WWC3	LOC100424434	WASF3	PTGES3	LOC718556	TBRG1	POLR2I	LOC717391	MYL5	POMGNT1	SOX2	SRC	LOC100423756	SOST	MYO18A	LAMA5	BAIAP3	PHF10	ANKRD10	ALDH7A1	TNFSF18	LOC100424339	MIA	SIPA1L2	DHX15	LOC715595	PRKCI	LOC100428114	GPCPD1	LRGUK	LOC718865	LOC100427654	SYVN1	TDO2	LOC705997	PAGE4	RAB7A
TBC1D10A	MPPE1	IL4R	FBXO4	LOC708028	ZNF341	IL25	MST1R	DIO3	TMEM104	LOC713488	ZNF77	LOC718537	ZNF792	LOC702540	HEY2	PPP1R1B	SMARCE1	TSHR	LETM1	LOC100424149	HRASLS	PTGFRN	LOC714238	ASPH	GLI1	LOC707118	METTL1	CCDC122	LOC707654	TBL1XR1	ITFG3	SLC26A4	WDR47	HIST1H3D	H2AFZ	WDR37	LOC718901	CCNT2	ZNF616
GUK1	USO1	LOC697390	FGR	FCGRT	TGFB2	C2CD2L	LOC100424149	LOC713768	TLL2	NECAP1	ERI2	ZNF335	UBAP2L	SAMD3	LOC707802	CD5	ALDH18A1	LOC694102	LOH12CR1	CCDC181	ADRBK2	IFT88	LCMT1	RPUSD2	CCT6B	CTXN3	MED29	MIA	PM20D2	VSIG4	IFT140	SIAH1	CTAG1A	LOC709738	LOC697476	FZD1	ARFGEF2	CCT6B	SLC25A1
MRPL47	MKI67	TRIM28	C13H2orf15	TRIB1	AP4S1	TTLL10	RERG	LOC722315	AQP4	LOC708258	SCN8A	CCNA2	LOC703005	UBE2T	VAV2	LOC721131	KIF16B	ARFGAP1	LOC713582	SLC35F5	LOC100429846	FUCA1	INPP4A	KCTD17	LOC706346	CHDH	PLCB4	HK3	ANO2	LOC695160	LOC716378	XRCC5	RGS7	LOC698454	TSR3	LOC700659	PSMD10	LOC706441	ANKZF1
KDM5A	HSDL2	RAB17	LOC718263	SERPINE2	LOC719033	ARHGAP29	WDR77	LOC722479	HSBP1L1	MAP2K4	FGD5	LOC711485	AP3D1	ALOX5	F2RL2	KCNH5	PFKM	PIAS4	RNH1	LOC695156	C2H3orf18	PPP2R5C	LOC715018	PRPF40A	PRPF19	TOMM40L	LOC710890	DNAH5	TMOD1	LOC715793	LOC100425106	PRKCG	DCAKD	LOC694310	LOC711721	SERPINA5	SPATS2L	KCNJ2	PPP1R12C
LOC706574	LOC719082	OSBPL11	ADHFE1	GOPC	HERC4	TEAD1	NKAP	TMEM44	ZNF585A	OSBP	ELOVL7	LOC699119	ZKSCAN3	LOC709745	STK38L	PRKAA2	ATF7IP2	KRR1	LOC704143	NR4A1	LAP3	LOC708668	SCLY	LOC711412	LOC100429822	UBE3A	GBP2	LOC709698	CLN8	MRPL2	AMZ1	KDM6A	LOC718598	CASP3	LOC719969	DSCC1	NGFRAP1	KCNA5	PRPF18
NVL	LOC100426338	PHF15	ZBTB11	CLK3	SLC12A6	NOP9	GZF1	ABHD13	LOC720005	RPAP1	LOC100428359	LOC716361	MRPL51	USP11	MATN1	DHRS7B	CSTF2T	CYTL1	MEGF10	LOC722173	TMEM254	SLC30A10	ATAD2B	VSTM2L	RSF1	RFX7	PWP2	ZFP106	GZMK	LOC695143	COX7B	R3HDM1	LOC711252	SLC35C1	CHST8	TTLL4	LOC703831	XPO1	NDUFB4
LAYN	SUPT3H	LOC710963	RC3H1	LOC707600	ZNF33B	LOC100430373	ATP1B3	KDM2B	CCDC149	IFIH1	RICTOR	LOC702232	LOC694892	HOXD1	LOC693798	MIEN1	SMC4	ZNF667	DNA2	UBA7	MYL6B	LOC699778	C6H5orf63	LOC710658	FGF11	KIAA1409	ATP8A1	CLSTN2	APC	PDE8B	COLQ	ARHGEF28	CPNE9	WT1	MRPL10	THYN1	A2M	ACADS	PNO1
ALG10B	TGFBRAP1	SLCO2B1	MEF2D	LOC717755	LOC100423806	EIF3I	LOC706454	LOC704306	DYRK1A	LOC721833	LOC710176	LOC703604	ADAM32	LOC717360	LOC719662	ZFYVE26	DEPDC1B	SART3	COQ6	CXHXorf38	SCN3A	SRP68	LOC698029	NCBP1	CTDP1	LOC100428539	PTPLA	MYO1C	LOC707493	RAPGEF2	STARD10	SFXN1	GLYATL1	ACTR2	MAMLD1	LOC715265	C13H2orf73	BZW2	RNF31
MAGEH1	FOXP4	NUMBL	ASAH1	SESTD1	DUSP1	THEMIS2	HDDC2	RABGGTB	GLT8D1	NUDT12	FCGRT	MS4A7	IGSF6	SMYD5	BTG4	C18H18orf8	LOC100428769	SLC2A8	ZBTB9	TMEM14C	LOC717980	TOMM20	MRPS35	LMCD1	TH	EXOC2	LASS4	TFB2M	TENC1	AK8	GNPDA1	RSC1A1	RASA4	MITF	PSMB1	DAG1	GLO1	TREM2	ZDHHC15
