E80_L1	E80_L2_3	E80_L4	E80_L5	E80_L6	E80_WM	E90_L1	E90_L2_3	E90_L4	E90_L5	E90_L6	E90_WM	E120_L1	E120_L2_3	E120_L4	E120_L5	E120_L6	E120_WM	0M_L1	0M_L2_3	0M_L4	0M_L5	0M_L6	0M_WM	3M_L1	3M_L2_3	3M_L4	3M_L5	3M_L6	3M_WM	12M_L1	12M_L2_3	12M_L4	12M_L5	12M_L6	12M_WM	48M_L1	48M_L2_3	48M_L4	48M_L5	48M_L6	48M_WM
KIF1C	HNMT	SMEK2	LOC700208	ADCY8	LOC100423899	KIF1C	LOC696649	LOC100424571	CYTIP	PDYN	DDIT4L	MLLT6	KCTD4	HSPB3	LOC711039	SIPA1L2	LY86	KLF4	ZNF184	CD83	C8H8orf79	LOC696548	LOC713855	PODXL	SERTAD2	NPR1	GALR1	CYR61	PRR5L	LOC718467	CD160	TRPC3	RAB20	FAM117A	TJAP1	OAF	CEP70	ASB5	MAATS1	SYT6	FUT8
RABL6	TSPYL5	RARB	ABI3BP	ADAMTS3	MREG	ALDH1A2	STC1	LOC715892	EGFL6	LOC100428350	SAT1	COL1A2	LOC700039	HTR1D	GPR6	ADAMTS3	LOC713110	EDNRB	GTF2IRD1	KCNS1	CALCB	LOC705851	SPSB1	LOC722191	LOC704395	LOC716986	LOC720018	DSG2	PSEN1	MEF2D	GALNT13	LOC717465	ZYX	SSTR2	LOC714794	LOC710534	NR6A1	GPR6	MYCN	SLC38A4	CNTN2
RELN	HNRNPC	LGI2	ASAH1	NOG	PTPN4	GAD2	MLLT11	KHDC1	CD36	SIPA1L2	KLF16	TMEM151B	MRAP2	FGF14	CD74	DSC2	UGT8	VSIG4	CPA5	SEMA5B	HES6	UGP2	PTPDC1	LOC712403	SPON2	RAB3B	GRAMD2	SPRY2	C9H10orf120	TFE3	USP25	LOC718651	HS3ST3B1	LOC704505	SCARB2	RAMP2	LOC719049	LOC710662	DPP4	ADAMTS3	TMEM87A
SOX2	TMEM74	NTN1	KCNV1	NEB	BTG1	PROX1	NEFM	TAC1	LOC711021	MAMDC2	DEPTOR	LOC100430318	DHX15	LOC714886	LOC707640	B3GNT2	LOC695612	LOC700019	LRRC42	PTH2R	SORCS1	GADL1	STAMBP	IVD	LOC694192	SLC38A11	LOC704750	TNFRSF21	TAL2	LRRC3	SSTR1	CHRNA1	TTLL12	LOC100424360	MBOAT1	SLC12A1	HTR1D	TRPC3	CRYM	CYP26A1	CA14
LOC719150	SEC22B	SRPK1	ABLIM2	DUSP9	SSH2	RELN	SRI	CSRP2BP	GPR6	NTSR2	PEA15	TAGLN2	SOS1	ASPHD2	NTNG2	LOC713154	HSD17B4	CHP2	ART3	EXTL2	RASL10A	PTPRU	SLC12A2	LOC716093	VIP	SPTLC3	SLC37A4	DGKG	SCARB2	CHST11	PSRC1	TM4SF20	LOC711696	LOC696548	SERINC5	MSX2	LIN9	TSPAN14	TTLL12	PAPPA2	HOXD1
ST8SIA5	SYNCRIP	TMED9	C1QL3	STAMBPL1	INHBB	FAM222A	MAPK8	LOC708459	UST	GRM2	SEMA3C	LOC696295	LNPEP	RIMS2	LOC720466	POSTN	HRASLS	ABCB1	TMEM200A	CLIC6	MYH2	TLL2	LOC100429949	LOC100430381	NPR3	TRIM54	LOC721007	FAM46A	RALGDS	EZR	SPECC1	LOC706425	TOX	TXNDC5	LOC713032	LOC718169	LOC708067	TRPM3	LOC100424721	LRRC55	CRYBG3
NACC2	DAAM1	LOC699426	LOC710801	LOC704204	RNF122	TNFAIP8L3	FLOT1	RORA	LOC100429852	EGR3	LOC709993	WDR44	PRSS12	SCN9A	TOX	TRH	FA2H	RPS28	EPHA6	LOC696152	PRKCG	NPY2R	LOC697592	TBX3	KLK5	LOC709171	LOC709821	SEMA3D	GJC2	FAM176A	WFDC2	EEPD1	DPP4	CCDC110	LOC704829	LOC693940	ZFP90	PLCH2	FRAS1	FRK	NDE1
PINK1	TAF2	ZNF503	TRPC4	LOC707948	LOC697898	LOC704837	LOC713335	LOC713644	RAB27B	FIBIN	PRSS12	RPL4	PTX3	ZBTB34	ETS2	FAM101A	LOC710662	ACTA2	LOC713358	SCN7A	NR1I3	NXPH3	ZDHHC9	LOC696802	PIP5K1B	NFKBIE	TBC1D1	PIK3C2G	LOC713032	RHCG	ADAMTS5	RORA	PLXDC1	SLC38A4	LOC697570	LOC712536	LOC707723	ADM	GLIPR1	TXNDC5	LOC100429414
CLDN11	MET	SNRNP27	TJP1	AVPR1A	KLF16	PCDH18	LOC706539	MARCH9	CHRM3	SPAG6	MOXD1	VEGFC	EPT1	SGK1	TSHZ1	TANC2	CSF1R	DLC1	FAM196B	LEPREL1	NRTN	SEMA3D	BTC	SLC1A2	LOC721400	TSPAN14	SOST	TPM3	MSTN	LOC695413	F13A1	RIPK4	ZFP64	HTR2C	CRYBG3	NR2F2	TIMM10	STC1	LHX9	EIF4E3	LOC696302
DIO2	SHROOM3	MED27	SH2D4B	GFRA1	IGDCC3	PLS3	RAP1GDS1	CLU	LRRTM3	LOC710662	LOC696475	SLC13A4	SVEP1	LYPD6	LOC100429852	LOC100430941	SOX8	LOC722115	ARPP19	GCG	AUTS2	SENP5	GALNT6	LOC100430672	FRMPD1	RUNX2	ZNF792	AREGB	LOC716237	LOC722771	SGIP1	WWP2	LOC711450	HACL1	GAL3ST1	CRIP1	PRR15	PPM1J	LOC699649	TNFRSF21	PDE8A
LOC710937	PSPC1	ZMAT2	RAB20	MEGF11	VCAN	CXCR7	IRS2	LOC707371	LOC100428914	IL13RA2	CDK6	QARS	ITPR1	LOC100427516	LOC100427126	LOC100429791	GPR17	BCL6B	IFRD1	AADAT	DDX6	MUM1L1	ST6GALNAC3	FGFR3	LOC717624	UMODL1	LOC100424571	FST	ATG4C	PPP1R3C	PRR15	SLC6A7	LOC721262	DIP2A	NEO1	APLNR	C14H11orf20	SMYD2	SYNPO2	RNF14	TAL2
NR2F2	SNTG2	SMAD7	EML5	FAM110B	ATP2B4	CXCL14	HBEGF	GNG5	HS3ST5	LOC100430941	PALMD	OMD	ROBO1	MVD	HAS2	LOC100425626	GSG1L	LOC716986	LOC100428522	BLVRA	LPCAT3	LOC715459	TRAK2	RAMP2	CR1	TRPC3	HES6	KIAA0247	SEPT10	PVRL2	FAM196B	RAB3B	HECTD3	LRRC55	SLC31A2	RHCG	ARPP19	MAP3K14	ATP1B4	COL24A1	GJC2
EIF4EBP2	ETAA1	NPY	LGR4	KLHL14	LOC697233	FBXW4	VIT	GALNTL4	FAM84A	DOC2A	LOC716862	EMP1	ANKRD50	BCAS4	GABRA5	DSG2	LST1	LOC716722	PLXDC2	DEXI	FABP5	HP	TMCC3	HAPLN1	STK17A	NRG4	RELB	CCDC110	SUCO	CRIP1	ZNF238	CCDC136	LOC721007	SCIN	GCOM1	SPRY1	LOC714523	THSD4	SLIT1	CA12	GALNT6
WFIKKN2	HSD17B4	UNC5C	PDGFA	ABHD6	FAM13A	ANXA1	LOC714896	BOC	KCNV1	CHST1	CHRDL1	ITIH2	DACT1	SNAI3	IQCK	HECTD2	BMP4	RGS20	EIF4G2	HGF	GRM8	MGAM	LASS2	OMD	FUT4	PPM1J	WDR4	RASD1	CPM	CDH5	TLK1	LOC709171	C1S	RTP1	SUCO	RGS20	TWIST1	NPR1	DKK1	LOC696548	LOC712291
SOX6	LOC708668	TPBG	FIBIN	LOC100424714	TTYH2	LOC707708	LOC100430128	PTPN1	FZD1	CAV1	PAX6	ARNT2	DUSP9	DOCK4	KCTD8	CITED2	AFAP1L2	SMAD6	POLE4	MGP	TC2N	ATP2B4	MAP4K4	LOC718307	C1H1orf52	SOCS1	AMIGO2	ADAMTS3	LOC717399	CLTCL1	LOC698515	MICAL3	SOST	ADAMTS19	LIPA	TBX3	DCBLD1	DEXI	GALNT14	CAMK2D	KCNJ2
LOC100426615	LOC100430128	RIMS1	COL21A1	PTH2R	TGIF2	PGF	OCIAD2	LOC100426828	RBBP8	PDE1A	LOC100423493	AREGB	CCBE1	NMRK1	PTGFRN	AVPR1A	PIPOX	LOC706532	MAP2K6	TNMD	LOC100429791	LOC100424360	EHHADH	MRGPRF	LOC719616	EXTL2	TMEM201	POSTN	FNTA	ISYNA1	REC8	MYOT	LOC100425809	CLDN1	FNTA	KLF4	DACT2	RAB3B	LOC717968	LOC701932	PAIP2B
AKNA	CHN2	FBXO32	LOC712220	SPOCK1	ZNF462	PTPRT	HEBP2	LOC716703	PROSAPIP1	WDR66	CIT	CBX6	CHN2	GLIS3	LOC717360	CARTPT	LAT2	PODXL	CARTPT	LOC100430361	LOC722339	GPR63	CDC20	ADCYAP1R1	IL15	CITED1	PAXIP1	TESC	LRRC8D	C1H1orf64	RAPGEF2	NRG4	LOC699649	MEOX2	MOSPD2	ACTA2	SLC4A11	SHISA3	NEUROD6	SCGB3A2	ARFIP1
LOC722263	DACT1	CHST2	KCTD8	NPTX1	UNC5D	NPAS3	KCTD10	ZFAND2A	TOX	SIK1	FAM46C	PABPC4	PROX1	AADAT	GFRA3	LOC100424432	ADHFE1	AIF1	GPR156	BTBD3	LOC720824	PDZD2	GPD1	NR2F2	EPHA6	LOC696152	SLC26A4	LOC100425255	LOC703828	ZNF219	FUT4	ZCCHC11	SLIT1	ARID3B	LPCAT2	RGR	LOC706437	LOC100425187	NT5DC3	AP3S1	LOC708030
LOC707708	MLF1	PPM1J	LOC711021	LOC100428250	LOC712588	CHST7	ENPP2	MED27	NT5DC1	DSG2	TGIF2	LOC703896	NHSL1	ASPH	LDB2	LOC718339	TREM2	LOC717999	ASXL3	HR	LOC100427581	KRT17	SEPSECS	FZD4	DOCK4	PHLDB2	FRS3	MAML3	S1PR5	PLAU	SCGN	LOC574319	OTUD7A	FAM46A	TNFAIP6	CHST11	CDKL1	FAM20C	GDF5	B3GALT2	FRYL
TPD52L1	RTN4	LOC100426700	LOC708348	FOSL2	NCOA1	PDE7B	FOXK2	METAP1	RGS4	POSTN	SEMA4D	LOC722507	LOC100424549	TRPC4	ELL2	KCNJ3	RASSF4	ADCYAP1R1	ZNF831	DGKB	HAS2	SYT12	TMC7	NHS	LOC697155	RIPK4	C8H8orf79	CA12	CA14	GATA2	LOC100424400	EXTL2	PINX1	KRT1	ITGA2	ROR1	SCGN	ADH4	SLC26A4	ANXA7	ENPP6
LHX6	PDHX	KCNK9	CNTNAP5	B3GNT2	ENC1	ARHGEF5	REPS1	CIART	LOC100423131	ABHD6	TKTL1	VASH1	EPHA3	TLE1	LOC100430015	CPB2	FOXJ1	SGSM2	STC2	LOC712512	ST6GAL1	SPAG6	MID1IP1	LOC718169	LOC694029	PRDM1	LOC699757	LOC701932	ZNF326	LOC100423846	LOC712408	LOC713540	MYCN	MAK	CNKSR3	TEK	WFDC10A	LOC716232	LOC100430175	FAM102B	USP47
ELFN1	LOC721973	LOC100428914	IQCK	HLF	GKAP1	DOCK10	LOC698953	PCID2	LOC709886	SLC26A7	LOC697898	PTPRM	BLCAP	CNTN6	LOC719963	NOX4	LOC704029	LOC706281	MME	LOC706461	CACNA1F	LOC706509	LOC716268	LOC100428825	RFX3	NTNG1	CANT1	C4H6orf165	PIGB	SMAD6	BCL10	RHBDL3	C8H8orf79	IL12RB2	TAL2	CALCR	LOC696649	SLC9A3	DRD5	ODZ1	GOLGA7
LOC710913	PID1	SLC25A14	IRAK2	PTK7	FZD7	NHS	ARL10	KCTD15	P2RY1	PRICKLE1	WEE1	CCNI	LOC707075	FLRT3	LOC694923	SV2B	BBOX1	PFDN5	LOC696742	L3MBTL3	ACAP3	CA3	LOC712485	LOC100423109	LOC708755	KCNH8	HES1	ARHGAP6	CLCA2	CPT1A	C3H7orf60	LOC100425703	PDE9A2	F12	PLD1	CROCC	PNCK	RORA	HPCA	LOC711575	LOC716998
LOC678699	ST6GALNAC5	PTPN13	LOC100424932	ODZ3	PPP4R2	IRAK3	SYNE1	LOC701933	LMO7	APP	SEMA5A	VRK1	NEUROD1	NPPA	NEUROD6	UGP2	RTKN	GLTSCR2	DGKA	PHLDB2	LOC721470	NR4A2	LOC710527	LOC717414	RGL1	LOC711788	NTNG2	NEB	ABCD4	HS3ST3A1	EXD2	LOC716986	TMSB10	CDC27	SMIM5	AREGB	RFC5	LOC710363	TMSB10	FUT9	LRIG3
