E80_L1	E80_L2_3	E80_L4	E80_L5	E80_L6	E80_WM	E90_L1	E90_L2_3	E90_L4	E90_L5	E90_L6	E90_WM	E120_L1	E120_L2_3	E120_L4	E120_L5	E120_L6	E120_WM	0M_L1	0M_L2_3	0M_L4	0M_L5	0M_L6	0M_WM	3M_L1	3M_L2_3	3M_L4	3M_L5	3M_L6	3M_WM	12M_L1	12M_L2_3	12M_L4	12M_L5	12M_L6	12M_WM	48M_L1	48M_L2_3	48M_L4	48M_L5	48M_L6	48M_WM
CMTM8	FBXO44	PIK3R4	LOC694819	FKBP14	LOC707094	LOC100427986	LOC713138	RECQL5	ANKRD13D	LOC708599	WDR16	LRRC4	CASD1	LOC705927	LOC100425653	TMEM56	LSM4	ZNF185	CNGB1	THBS3	CD80	GAS2L3	DSCC1	GPHN	AXIN1	SHPRH	WDR16	LOC100423350	ANKRD18A	PRR13	SNAPC4	PRTG	LOC709874	MOXD1	ZNF385A	TNFAIP8	LOC719492	PRKAR2B	FGF19	IFNGR1	SACS
THOC6	TBC1D8	LOC696315	LOC714174	LRRIQ3	CSGALNACT1	MCL1	GPR37L1	HTATSF1	IGSF6	MYCBPAP	TXNRD2	LOC717082	NCKIPSD	PHACTR3	MTPAP	SLC10A7	CASP3	DCAKD	LOC696116	PRKCQ	MVK	SERPIND1	DAB1	RAP2C	THTPA	BGN	DIMT1L	ITGA2	LOC706210	PRRG3	ARRDC2	HPGD	PCBP4	LOC709665	KLHL7	DFNB31	LOC710076	RBM27	LOC703753	RPP21	LOC695392
MRPL9	CROCC	ZCCHC2	GRAMD3	LOC722516	ATP9B	LOC714631	KIAA1409	LAMC3	RRP1B	DLL3	LOC709751	PRPF31	DCAF16	CANT1	RHCE	RORB	GABRE	LOC694667	NAA38	CLSTN2	CDK8	SFMBT1	LOC716636	C2H3orf14	NAP1L4	CASKIN2	RPL37A	BFAR	LOC705941	CD44	RPL27A	LOC100423727	DCTN5	SH3D19	SPSB3	GCH1	SMPD1	LOC706835	HIST3H2A	GLUD1	PPM1J
MNAT1	LOC678699	ZW10	LOC695843	DCTN2	CTBP1	FBXO31	RASA3	KIF21A	CHAF1A	MSL1	OSBPL9	LOC100423695	LOC712923	LOC693798	ADAMTS2	FKBP1A	RBBP8	EEA1	APBB2	PABPC3	TRAK2	COCH	NEK2	TMSB10	COMMD8	TRPC7	SYNJ2BP	FAM168A	PKHD1	LRWD1	LOC715950	SS18	GABARAP	RPAP1	LOC721772	IFT52	APOBEC3C	LOC100430130	METTL7A	LOC695722	ZNF616
LOC100429418	LOC708409	PFKFB3	LOC698477	RIMS4	LOC695933	XKRX	TMEM170A	DDAH2	LOC700889	UHRF1BP1	SH2D3A	NIPBL	DCLK1	LOC714010	LOC697032	LOC712579	TMED6	LOC714805	SH3GL2	FDFT1	HIST1H2AC	LIN9	LSM12	LOC715676	RAPGEF6	LOC708564	LOC100426725	DYNC1LI2	SMUG1	COPS7A	ANPEP	LOC710387	LOC100423109	LOC714485	LOC699057	DYNLT3	LOC710619	ZFP64	FBXW8	RSC1A1	GPR172A
LOC709161	PPP1R10	TPH1	LSM10	NAA38	LOC694823	PIGY	EDNRB	SLC39A10	MFSD2A	LOC715318	KLHL20	ARID1B	EOMES	B4GALNT3	LOC711562	NOP2	WDR89	LOC707387	BRS3	LOC708827	UGT2B15	RAP2B	LOC100424400	HIST1H2BJ	PPP1CA	UBR7	MEGF9	PVRL1	SLC4A9	EDN1	SAMSN1	PLCE1	UVRAG	PON3	LOC714042	LOC715782	ZNF469	BAIAP2	IFT88	TM4SF20	HSD11B2
ATG4C	SFRP1	PTPN21	DENND4A	LOC100426025	BACE1	TRAFD1	PHYH	LOC713344	TMEM245	GSN	LOC710897	MCTP1	EZH2	LOC718265	TMEM63A	HTT	GPR137C	PSMD11	LOC706585	C8H8orf46	MRPL39	BNC2	MRPL11	BEND3	GTF2H5	SENP7	LOC100424169	ERI2	LIPT1	FAM168B	LOC100423109	DLX4	AGXT2L2	NOX5	SSTR2	RBM25	GAS2	BIRC5	LOC716862	C18orf10	SEMA3D
ALKBH5	TSHZ3	HNRPH1	UBXN4	LTC4S	G6PD	C8orf34	GPNMB	LOC708080	CCND3	SH2D3A	LOC695330	KCNJ6	LOC716850	ALDH2	AGR3	PAPD7	FTSJ2	TCEAL7	RAB11FIP1	TAP2	SEPW1	ZFYVE16	LOC100424442	NFRKB	CLNS1A	TMEM171	ADORA2B	IBTK	NREP	EIF2C4	ENPP4	DDX41	RAB3GAP2	LOC712098	LOC100424549	LOC719751	GUF1	TYW1	CDH26	ANKLE2	SOCS1
PTPLA	LOC100423404	TPRKB	LOC699821	BLOC1S3	RGMB	LRIG2	BTN3A3	LOC711252	PNOC	CALR	LOC700335	NSG1	SCAF11	ZCCHC9	LOC710662	IGF2BP1	ATM	GALNT11	TM9SF1	LOC100425340	LOC720058	CEP170	C14orf153	XPO7	VBP1	CCNA1	LOC100426255	FA2H	DEFB122	LACTB	ENDOD1	FRYL	PCBP2	SLCO1B1	LOC704858	DUS2L	PSMD6	LOC708688	AGT	LOC711087	LIPI
ADCY1	KCNN2	ZNF792	SF3A3	XRN2	DIS3	LOC718424	HIST2H2AC	LGALS7	LOC100425106	CDH11	LOC694125	LOC706977	LOC719863	LOC705985	LOC719053	DMWD	UHMK1	UNC5D	NFYA	LOC713854	LOC696076	CCDC22	KLC3	TMEM260	LOC693573	DIAPH2	PTPRO	IGF1R	RASGRP1	KCNMA1	CHD3	PITX2	TRIM47	TAF7	NCOA3	SNCB	USP16	KIF1C	TTLL11	FRMD4B	ELF5
CORO2A	LOC704723	MYSM1	LOC705985	RAMP2	CLEC16A	BLCAP	P4HA2	WDR35	ELP2	RAD17	SELL	NHSL1	SOHLH2	URM1	LOC706480	ACO1	DCST1	ADH4	LOC716501	LOC708539	LOC716824	LOC100424198	METTL21D	HEATR2	LOC714485	CEP128	RPS6	ENOPH1	RELB	NXT1	CRYGD	TRMT2A	LOC702306	WDR49	LOC100425533	RTKN	LOC720833	FCRL3	NFX1	TERF2	KREMEN2
CP110	LOC702906	S100A4	NXF1	PLCG1	EGR3	TPM3	LOC714047	LPAR2	LOC711696	NEU1	PTK2	EAF2	LOC722170	LOC704705	TSHZ2	ZFP42	PLAGL1	NAIF1	LOC706454	AIRE	AZI2	TGFBRAP1	OSBPL7	NUDT2	PQBP1	ACADS	C20H16orf87	LOC721291	LOC701416	OSBPL3	ZNF345	ZNF142	FAM110B	LOC694906	NARF	WDR43	UST	LOC706446	TUBE1	CSNK2A2	SULT2A1
NPHP3	OMD	HBM	PNPLA3	LOC709454	SPO11	DCT	RAB8B	KCNE4	USP40	ABCF2	SHROOM3	MYST3	ZSCAN29	GTPBP4	PIK3R5	PTGIS	NOD2	NCBP2	GPR155	LOC715752	LLGL1	SLC45A3	DKK1	MOG	TRIM24	ERGIC3	C1QA	SNX30	TGFBI	ZNF829	LOC711947	CNIH	FAM126A	RNF138	LOC723075	LOC710257	LOC710882	FDCSP	FRG1	SNTB1	SHISA3
LOC714042	MED22	NT5C3	LOC696884	LOC722589	PNKP	BTNL3	RBMX2	NR4A1	PLA2G3	LOC715716	KHDC1	SLC16A2	RTN4R	MKRN2	ZBTB40	ZMAT5	ZCRB1	PCDHB15	GGACT	LOC707118	LOC700636	ZZZ3	LOC722173	VPS16	IL13RA2	PLAGL2	LOC712588	ZNF277	DHX57	GMPR2	APC2	C5H4orf46	CD69	FAM26F	RFC1	PCDHB14	JPH2	ZNF467	CRTAP	NOX4	SLC38A11
VWA8	ANAPC2	THRB	ALG6	ORC6L	PLEKHA8	NAPSA	LOC711525	LOC100431074	NFIA	LOC100426768	LOC719721	LETM1	FAU	LOC714024	LOC714302	LOC704306	FBXO9	IFT172	TLE2	FOXM1	C4H6orf108	SCFD2	RAP1GAP	LOC697860	LOC712218	FAM26F	WFIKKN1	METTL15	LOC710120	ABHD14A	TTC39A	ZNF426	LOC722098	RND2	GRHL1	TANC1	LOC100425653	ARHGEF40	RPS6KB1	MRPS12	GNAQ
ERF	VCAM1	WDR35	COPZ1	HMGN4	FBXO4	GLYR1	CLPX	LZTS2	UBE2S	TCF25	CSDE1	POLR2C	NRG3	E2F4	TRIM33	SYCE1	PDE7B	ZNF619	MXI1	LOC722572	SAV1	AQP7	POM121	TMEM25	ZNF20	LOC713159	SLC31A2	LOC713855	GPR21	GABARAPL1	AIFM3	MFSD5	SUMO1	OFD1	GPR63	BTC	LOC701241	LOC718466	STK17B	XG	KLHL34
PHKA1	BANK1	DPYD	CPA6	NEU4	ST3GAL4	CMYA5	GGCX	LOC100429533	LOC719201	BSCL2	GUF1	BROX	LOC694140	COL4A3BP	SAG	SMARCE1	HSPA8	SYT16	RAET1E	BLOC1S1	LOC697857	HSPBAP1	COX6B1	ATP2B1	KDM3B	ANKHD1	IQGAP2	ZNF792	LOC713391	IDH3B	ANKIB1	TMX1	JMJD8	GTF2H5	SLC12A1	LOC718326	LOC719390	LOC721890	PIK3C3	HAX1	NME7
JUNB	LOC100430016	LOC695164	LRRC27	ITPK1	C13H2orf76	LOC693342	TRIM17	LOC718872	LOC704728	LOC716319	POR	POP7	SPICE1	ESD	SRGAP1	CSRNP1	GLRB	FAR2	CIP29	FOXN4	KIAA1539	LOC713183	SMARCD3	TSPAN17	GTSE1	LOC720093	SCPEP1	LRRC63	RCAN2	PTP4A2	TBC1D5	PLEKHA1	ZNF280C	PRDX1	LOC719763	RAB9B	LOC717315	MFSD2A	APTX	TP53INP2	KIAA0100
TLE3	BVES	TAF1	MKI67	LOC700914	LOC722061	LOC707743	DNAH6	CCDC67	SORCS3	PEX7	TDRP	MRPS31	LOC700879	CNTROB	NUP107	GRAMD2	FAM13A	MYO18A	PTPRU	TBL2	GRM6	LOC100423823	CBLL1	LOC699284	SPAG6	ZNF354B	HTRA4	TFG	GTPBP8	RNF41	REV3L	LOC719523	LOC715597	TAL2	SAFB	TRIM32	TMEM230	CNTN2	RFC5	LOC709320	LOC715375
LOC716408	LOC704518	SSFA2	MMP2	PACSIN3	ERCC4	MRPS34	SLAIN2	POPDC2	CTHRC1	SHCBP1	LOC100428717	PRR3	LOC100427578	LOC100424963	LOC694823	DUSP6	NOB1	PDE4D	ZNF800	HSPA14	LOC722353	DUSP16	LOC719479	LPAR1	DYM	TRIP11	PPP1R3C	REP15	CLEC12B	TMEM25	REL	FECH	C16H17orf61	KCTD7	LOC703116	ZNF593	MRE11A	SLC12A2	ZEB2	TRIP11	AP3S1
LOC721324	LRRIQ3	RNF111	MAP1A	AGA	BCHE	RSL1D1	ARHGEF7	ENTHD1	PCK1	SF3A3	EXOC7	ZNF560	PIK3CG	GLIPR2	ZNF333	GTF3C5	PPP2R2D	CSPP1	LOC721732	LOC100429683	GLB1L	SPC25	LOC100425275	SVIP	TOR1AIP2	SIRT5	BIN2	SMARCD3	THSD4	HCN1	ARHGAP6	CD1D	COL4A5	LOC712230	C2H3orf58	LOC718340	JRKL	ST6GALNAC6	NCKAP1L	LOC716237	ATAD1
ARHGEF28	ASAH1	LOC707601	PIGG	MEOX1	CD96	LOC713797	FOXO4	CLDN3	SF3B3	SURF1	LOC702650	MSL2	GPC1	C1H1orf27	LOC696366	SLC16A12	LOC716580	CCT8	LOC703685	TRAPPC6A	PAFAH1B2	C4H6orf62	ZNF131	PRKAB2	C11H12orf57	THOP1	LOC709476	SPRY1	POP1	MORC2	LOC697881	DYNC1I2	DNAJC10	EIF4G2	RPP30	PECR	CCDC14	SAMD4A	ZFYVE26	KCNJ5	LOC709476
PLEK2	GPR158	DECR1	PFKFB2	ZNF708	METTL5	RPUSD3	MBNL1	ADRA1A	CAPRIN1	LOC695765	AIP	PSMA5	LOC100428409	SSUH2	DUSP19	PCBD1	LOC717999	KLHL28	P2RY14	LOC698731	SLC9A7	GAL3ST1	HOMER1	LOC715527	LOC100424666	NOL11	PDIA5	COMMD2	ANKRD50	MYO9A	MYH7	MLL3	ARL1	SASH3	LOC720186	LOC721394	C8H8orf37	SIDT2	C14H11orf1	AARS2	EED
MYO9B	CWF19L2	PTBP1	COX8A	USP18	TMEM161B	CRAT	HS1BP3	ZNF397	LOC715688	DIP2B	CIAO1	B3GNT4	FBXO41	SEMA6D	PRKRIR	C5orf35	CHGB	CCDC150	WBSCR16	SLC12A3	POLR2F	SLC5A2	LOC709676	LOC719331	TRIM28	LOC712644	LOC100430230	HCST	TRPC1	SIRT1	LOC708043	HSD11B1	TOP1	ZMIZ2	LOC695458	GFOD2	HGD	PIGG	ENO1	SARS	ABCC13
SLC16A5	FXR2	PSMB9	CUL5	LOC715993	PFDN4	ZFAND1	SOAT1	ANK2	LOC719983	IAH1	LOC694823	LOC718340	S100A10	SWSAP1	DTYMK	GFRAL	LOC100425987	SERINC5	LOC699626	HEBP2	P2RY2	RPS6KB1	POU6F2	SPTLC3	LOC701903	MAG	FBLN1	LOC100426615	MOSPD1	BRPF1	MARK4	LOC100428051	PYROXD2	LRRC2	AIP	RPUSD3	SERPING1	ATP6V0A2	LOC721178	GPBP1L1	LOC711436
SETD6	FAM110B	MFSD5	MYO18A	CHRNA5	LHX6	BAALC	LBR	PARG	SSNA1	TTI1	PARP2	B3GAT2	LOC722080	GRHL1	GTF3C2	ZBTB45	CDK8	C18H18orf22	LOC695170	LOC710110	PSMD6	PLAU	LUC7L	HSPA12A	STEAP3	CLCC1	ZBTB41	LOC720427	STAC	MOCS3	PNMT	MYO1C	YIPF4	STRA6	ABRACL	RAB3GAP1	MCL1	WAC	PTGER2	LOC697203	PDGFD
SON	KNDC1	FRMPD1	OXA1L	LOC708451	ABCD4	KBTBD8	TMEM95	PSKH1	GSDMC	LOC705877	HCCS	LDLR	HIST1H1B	NHP2	C9H10orf2	C14H11orf83	MYO1C	TMEM198	FKBP1A	NDRG2	TSPAN13	THBS2	UBXN11	THRSP	LOC701463	TMEM59	ZNF200	COTL1	LEFTY2	BUB1B	STX10	ADH5	PPP1R2	TGM2	TDRD9	CWC15	ZFPM1	LOC707279	SESN3	TBC1D12	MRPL47
SYNCRIP	ATXN7L2	ATP5L	GLT6D1	C5H4orf43	ACPL2	LOC719578	SRPX	LOC719662	CLPP	LOC717534	FAM81A	LOC718985	LOC721737	LOC700137	LOC100428834	TH1L	SERPINB8	ARMC1	PRSS23	TAF1D	LOC696112	LOC716334	ZBTB44	DPP8	GLA	ZNF319	RASEF	MFN1	WHAMM	SSNA1	NEDD9	SF3B3	NPR3	WNT2B	NDUFB10	LOC705778	LOC709497	LOC693365	SLCO1C1	CSAD	PAPPA
TYW3	NEDD8	PCBP2	SIP1	FBXO38	VPS36	LOC714315	LOC706617	LHX8	LOC713344	CDH5	SLIT1	LOC709331	TPD52	CYP3A5	DHX8	LOC697898	ZNF337	TPH1	LOC707625	LOC100429093	GPCPD1	LOC719786	SV2C	ZNF572	COL2A1	FN3KRP	ASF1A	SUV39H2	LOC100425255	RRP12	UBIAD1	GNG11	LOC718875	LOC700686	AKR7A3	STX8	LOC709956	MSL1	VIP	SCGN	DRD5
CLVS2	PCNA	FAN1	LOC100423976	SMC1A	PIP4K2C	FAM118B	CRTC3	HMOX1	LOC695301	RHCE	FCRL3	LOC695495	LOC100427581	SMURF1	MEST	LOC709314	LOC711947	ACTA1	IGFBP5	ATP1A2	LOC701559	MKI67IP	NONO	C15H9orf135	CHST7	NAA38	FBXW8	LOC696437	MRPL20	LOC707815	PPEF1	GALNT13	GLT8D2	LOC706465	ENTPD7	TRIP12	LOC716093	ZFP37	LOC719390	RORC	LOC719419
SLC35E1	GINS3	SNX2	LOC709253	EEF1G	GPR180	APOL6	LOC709838	LASP1	WNT3	TTLL11	LOC100426828	ACTC1	ADORA2A	LOC714598	ASPHD2	NHP2	LOC696152	SPTLC3	AGPAT4	LOC706042	OPTN	TTC37	TMEM132C	ZNF326	CYP4V2	USP18	KIAA1429	IDS	PTPN14	MCM4	UBE2J2	SMAD1	FBXL13	LOC695816	GPR172A	LOC712203	KIAA1009	TFEB	LRRTM1	LOC720644	PARG
PHYHIP	PTPLAD1	TMEM219	SCYL1	LOC702071	ZNF572	LETM1	LOC710076	LOC100430420	CCDC19	RNF122	PRICKLE1	DNAJA4	GABARAP	RGS20	LOC709521	PHC1	VPS41	PLA2G6	RIBC1	PRCP	HSD11B2	SLC43A3	VAMP4	NFE2L3	CABYR	LOC699530	DDX6	SEC24A	RAB1A	LOC716860	C4H6orf108	IGF1	SNX1	EPS15L1	GPX1	LOC713488	NPEPL1	FMO5	GJC2	LOC708858	PRPF4
IFT88	RNF144B	LOC714785	GLYCTK	LOC696453	DCDC2	LOC717648	LOC713755	SP5	SLCO1A2	ADPRH	TOPBP1	ADAMTS1	HMGA2	ATP5G3	LOC721967	CTU2	UACA	RBM23	SYT9	CPA3	RRAS2	CTHRC1	CRYGD	RAB9B	RUNX2	COMMD2	ZNF595	POU3F4	ZBTB17	AGL	LRRTM2	LOC100430130	WSB1	NFRKB	LOC100426577	LOC701364	LOC694310	LOC708982	POLA1	KLHL13	JPH2
FZD9	LOC695685	NUDT9	APMAP	SERTAD1	SEC23A	LOC720111	LOC100425255	LOC701241	INPP4B	HSD17B6	STAT1	PPM1G	FITM2	LOC100424434	BMP7	GLI1	LOC100425749	CINP	SLC7A9	TBCEL	SDS	KCNE1	NR1D1	NKAP	SERPINF2	NR4A3	PSMF1	IMPA2	LOC705624	YPEL4	PIK3C2G	LGR4	MYO1D	CPA3	DPY19L2	LOC714840	COL5A3	CORIN	HSPD1	CEP89	CUL1
SERPINB5	CCDC142	SNX10	LOC703716	LOC717469	IKBKB	MGAT1	ESPL1	ALB	PPP1R11	CA2	RNH1	LOC706858	BMPR2	LRRC16B	HELLS	LOC718532	LOC700580	LOC100423442	LOC714789	LOC715193	LOC713180	SELT	MIOS	LAMA3	PIGA	LOC696512	KPNA4	PRDX1	EIF4H	LOC714188	LOC719564	LYRM9	BEND4	MED4	ARAF	WDR16	STAT3	LOC714794	LOC712701	LOC708915	MAPK1
ZNF382	HOXD1	LOC722014	TAGAP	PGF	TMEM31	CSTB	CATSPER2	ZNF177	LOC710252	SPRN	MAST1	GFRA3	LRRC20	DAZ2	LOC717665	SPTLC3	IPO5	DPP8	LOC710797	LOC100423109	TMTC2	LOC695826	CISH	LOC709826	DDX21	ZNF664	CRTAP	LNP1	FAM222B	NOX1	C13orf36	SYNPR	PIK3C3	IDS	PLAU	SPTSSB	WNT16	B4GALT2	LOC705997	LOC704395	LOC696190
PKNOX2	PVRL1	BBS5	LUM	NCSTN	HIRIP3	BZW1	PPP1R12A	B2M	LOC100429093	MIOS	PPP1R1B	TAF5	CDK1	NIN	PTPRT	C10H20orf196	LRAT	PIANP	SPSB3	TPD52L1	LOC695612	IGF1	PIK3C2G	NPEPPS	ECHDC1	NOTCH2	LOC714181	ZMYND11	SUV39H2	SMARCAD1	TSC2	LOC709612	TIMM8B	FRG1	LOC100430361	LOC710695	BBS10	LOC713517	LOC712512	PSMD4	LOC718169
FOSL2	LOC722205	ARID4A	MYF5	IFITM1	MYF5	CDK18	CUL4B	LOC697523	SGSM2	WWC1	ACTB	ENPP6	PKD1	LOC706859	PLCG1	FAM60A	ACLY	TRAPPC13	RECQL	PBLD	WIPF3	RRAGC	JUP	DMGDH	LOC711947	LOC717671	MIB1	VSTM2A	LOC713545	RASL10A	MPDZ	C9H10orf32	RLBP1	LOC720186	TFE3	SAMD8	LOC696177	LRRC56	HKDC1	ABCF2	BRF2
ATL1	WBP4	ERMN	PCMTD2	LOC708798	PRDX2	CDH8	CPA1	PPP4R1	SSBP1	MICAL2	PAFAH1B2	MECR	MYO1C	MRS2	AVP	LOC708205	REXO1	RALGDS	LOC706090	C6orf125	TMEM20	CA14	PRPS2	LOC712939	PYROXD1	PRUNE2	KRT12	LOC696126	MYF5	TMEM55B	FGF1	SCARF2	LOC100424165	LOC697334	LOC100427625	ERI2	LYRM2	METTL4	PPP2R5A	ZNF182	TRAF7
MTHFD2L	SPEG	LOC100428624	CDK5	XPNPEP1	CHP1	LOC715172	LOC100428717	LOC716998	LOC698144	TESC	LOC709695	GGH	HBG2	LOC100429822	HMGCLL1	EDNRB	TAP1	RAB35	KANK2	CTXN3	C4H6orf211	ST6GALNAC1	PLAA	FAR2	TSEN34	LOC696761	EEPD1	TEF	LYZL4	PML	LOC715816	SSBP4	RAPGEF2	CLTCL1	NARS2	MPDZ	DHX15	DTD2	KCNMB1	ATPAF2	ADO
ZNF274	LOC698160	NSMCE1	CCDC106	LOC100429055	SNRPD3	DLL1	FTSJD1	PLEKHA1	DOPEY2	DEDD	UAP1	CBLN2	ITGA10	GLIPR1	ARFGAP3	ASAH2	LOC716703	SLX4	HIGD2A	FZD9	LOC100428834	F2RL1	MAP1LC3B2	TGFBRAP1	ATG7	LOC700270	RAB38	DNMT3B	AAMP	LOC698649	DPY19L4	PEAR1	MOV10	POC1B	ESM1	CIP29	OSBPL11	LOC702097	PRSS35	WDR67	H2AFY
UQCRB	PTPN3	BCL2L1	CBX6	LOC703329	RIMKLA	C7H14orf1	GNB4	CPA3	LOC695815	THRSP	LOC719205	MPDU1	ZNF496	RBBP8	MT1E	SCN7A	HTR1D	SLC25A4	LOC697202	GNPNAT1	ZNF805	MAP7	GGH	KHK	ARHGDIG	PLEK	LOC696317	KLHL24	LOC703842	DLGAP1	SHKBP1	LOC714658	RHOG	SMARCC1	CNOT3	FAM20C	LOC696131	ZFP91	LOC709698	ZNF222	TNRC18
HNRPDL	NAALAD2	TLCD1	FREM3	RDX	TRO	DUS4L	DAZ2	HSPB6	MRPS33	KCNJ3	CADM3	ETFDH	LURAP1	DYM	SCAF11	LOC697570	NAT10	TRIM32	LOC710786	PRPS1	NEU4	LOC701501	MORF4L2	DEF8	LOC722170	LOC697682	CLCN5	LOC705985	COL6A3	CCDC30	ABCB1	SYT9	CKS1B	LOC100424149	CHRNA1	EEFSEC	POSTN	STARD13	TTC25	LOC705865	ACSL4
LOC714844	TAF9B	LOC695921	PAH	ZFYVE27	GATM	NAGPA	RAB27A	RPL31	UBL4A	PM20D2	ATG7	NT5DC1	LOC100428682	LAMC3	DYNC1LI2	PIP5KL1	FAM118B	TRIM46	C4H6orf106	USP18	SEPT7	CMTM5	TRIT1	LOC702233	MUDENG	OMA1	LOC100426050	LOC713572	SRPK2	LOC713975	WNT4	CLCA1	SEPX1	RAD54L2	TSPAN14	TK2	HEPH	MAPKAPK5	FRYL	EGFLAM	LOC710667
LOC701809	UNC13A	BTF3L4	NISCH	IL4R	SLC26A4	C11orf59	LOC709676	CWF19L1	TSEN2	ENTPD5	INTS5	MAMU-DRB5	LOC712230	LOC100427251	ST6GALNAC4	CNTNAP5	LOC698821	LOC703015	CFLAR	LOC706226	TSPAN3	SEMA4D	EDF1	PCNX	LRRC63	FAM113A	C4H6orf130	TAP2	POLR2A	LOC713138	P2RY10	ZCCHC7	KIAA1324L	CHRNE	NKX3-1	MTMR1	LACTB	NEK3	AGPAT2	FAM105A	DCUN1D5
CACNA1E	LOC100426044	NDUFS5	ZBTB16	LOC717880	GPR156	RNFT1	NEDD4L	CLTCL1	IL8RB	SSBP1	SSR2	TEAD1	KLHL25	IL8RB	GJB2	VEZF1	GOLGA3	LOC702233	LPCAT3	FABP1	LPAR5	SMARCAD1	LOC100431070	LOC716195	ALAS2	PAIP2B	MRPS33	AKAP14	CD209	CORO1A	COLQ	FCGR2B	LOC100425340	ZC3H12C	COQ6	LOC708164	LOC720828	NDRG1	ASAH1	NUCKS1	NDUFB2
DLL3	LOC698825	HBS1L	STAMBPL1	VRK1	MATN2	LOC100426317	PF4	GPRC5C	CCHCR1	MRPL33	LOC702306	AGBL1	TBC1D5	ANKRD34C	AKAP8	MTRR	PPP6C	HRAS	LOC710257	C8H8orf37	RSRC1	LOC714188	LOC703842	DSC2	DKC1	LOC708730	DIS3L	PHACTR1	CCNT2	LOC100427660	FAM101A	LOC712291	MX2	CITED1	PCMT1	QRSL1	LOC715792	ANXA7	CHCHD5	LOC702779	CPVL
YIPF3	PRKAB1	LOC700114	TMEM90B	CLCA1	PROSER2	SEMA4B	LOC720427	LOC706847	IRF5	RNF103	COA1	LOC711721	POLD1	NYNRIN	CLK4	PPP6R2	BAZ2B	SVOP	LOC693561	SFT2D2	MST1R	ANKRD50	PICALM	LOC713110	LOC717027	CCDC97	PRKAR2B	HSD17B10	THBS3	XRN2	LOC706585	FBXO4	LRRTM1	ARL6IP5	LOC711778	TIPRL	ZBTB26	NFIC	RAD51L1	PCF11	ABHD13
LOC710829	SRD5A1	LOC700324	LOC100430860	LOC710830	RPL37A	LOC708095	PMS1	HIST1H2AK	AGXT2L2	NLGN4Y	MEX3B	NDUFB6	LOC100423985	DTD1	HMMR	CTSH	CCDC174	SLC30A5	AKR7A2	ACO1	IFI27	LRRC66	PKHD1	GTF2H5	POGLUT1	LRTM2	RAD51AP1	LOC697592	RCC1	RNF128	LOC701749	MCM6	XG	TC2N	LHX2	JHDM1D	SLC7A2	LOC100424656	PRKCSH	SS18	CRYGC
LOC722098	TRNP1	GTF2F2	GNAS	SLC25A28	FLAD1	CHAC2	PCBP3	TBC1D5	COG4	CAPRIN1	ANXA7	ERRFI1	IMMP1L	LOC711340	ANLN	AIM2	DCAKD	TMC4	LOC100424543	SNAI2	LOC707493	PRMT3	SARS2	CNTN3	DAB2	LOC716932	C5AR1	PPIL4	SEH1L	TMEM136	XPC	SCN9A	INSIG2	RPS20	SLC25A37	CDS1	C1H1orf158	FGFRL1	NPHS2	LOC697592	RPS19BP1
TBC1D10A	PIK3C2G	PTPN23	LOC702233	LOC714709	LRRC4C	KIAA1524	POR	F2RL1	LOC696169	AIF1	PAM	WDR49	MAGEL2	DRAM1	TNN	LOC722014	KCNJ3	LOC709161	DOHH	LOC100423756	GRIA2	USP38	RSBN1L	HOOK3	LOC694650	TPRA1	LPAR1	LOC718484	VSIG4	GPR12	ZIK1	DAO	CHI3L2	CMBL	LOC720644	MLLT4	MAP3K3	TG	GPR20	DAZAP2	MYL5
LOC715449	GPRC5C	NGB	SDCBP2	LOC708898	LOC697675	SRPR	LTC4S	LASS2	GSX1	SIVA1	C9H10orf107	LRRFIP1	LOC711562	VPS37C	LOC716649	GSC	EIF2C1	MAP4K5	KIAA1539	MAVS	VSIG4	HMGCR	RAB2A	COG7	MAMU-DMB	NPY1R	TMEM144	PIGB	C16H17orf50	HBG2	GART	LOC704832	SKA2	LOC708452	MS4A8B	SPRN	BCL2L13	FLT3	MTR	DOCK4	MRPL44
LOC100427157	LOC703717	LOC718626	CYLD	PIAS2	TAF9B	ATP2C2	FAAH2	LOC711575	JAGN1	HBS1L	LOC700879	RBM33	LOC719750	C7H14orf159	STX6	EPHB1	WDR31	C16H17orf80	ZNF780B	PPM1F	LOC721528	RARS2	SNX15	LMBRD1	IRAK2	PSMD9	THNSL1	RAB1B	SFXN4	LOC722339	KDELR3	FKBP14	LOC712347	BTBD11	FAM108A1	LOC100425801	CLMP	TOX	ME2	DDX49	ADAMTS3
LOC708204	RFESD	ARFGEF1	LOC709521	MTMR11	TMEM260	ATG16L1	LOC722345	ECT2	PISD	C5orf35	HNRPDL	CTXN3	LOC701522	EXOSC3	ITGA3	AP3B1	ATXN7L1	BRSK2	TMC5	SAP18	RAB27A	LOC711847	PLA2G12A	LOC712320	KLHL24	LOC710495	SOCS4	PC	MMP1	ZDHHC14	FTSJ2	PLEKHG2	VCPIP1	LIPA	IL10RA	PRKAR1B	LOC100427061	THBS2	VPS4B	MGLL	PIWIL1
